AtomicNumber,Element,Symbol,AtomicWeight,Period,Group,StandardState,MostStableCrystal,Type,IonicRadius,AtomicRadius,Electronegativity,FirstIonizationPotential,OxidationStates,Density,MeltingPointKelvin,BoilingPointKelvin,Isotopes,Discoverer,YearOfDiscovery,SpecificHeatCapacity,ElectronConfiguration,DisplayRow,DisplayColumn,Facts
11,Sodium,Na,22.98976928,3,1,Solid,bcc,Alkali metal,1,2.2,0.93,5.1391,1,0.971,371.15,1156,7,Humphry Davy,1807,1.228,[Ne]3s1,3,1,"Sodium is a soft, silvery-white metal that reacts vigorously with water, producing hydrogen gas and heat. It is one of the alkali metals and is essential for life, as it helps regulate blood pressure and fluid balance in organisms. Sodium is commonly found in compounds like sodium chloride (table salt), which is vital for human diet and in industrial processes. Sodium is used in the production of glass, soap, and in chemical manufacturing. It also plays a key role in processes like electrolysis, where it is involved in producing chlorine and sodium hydroxide. Sodium vapor lamps, which emit a characteristic yellow light, are widely used for street lighting. Sodium is extracted from natural minerals such as rock salt and is abundant in seawater."
12,Magnesium,Mg,24.305,3,2,Solid,hex,Alkaline earth metal,0.72,1.7,1.31,7.6462,2,1.738,923.15,1363,8,"Humphry Davy, Joseph Black",1755,1.023,[Ne]3s2,3,2,"Magnesium is a silvery-white metal that is essential for life, as it plays a key role in hundreds of biochemical reactions, including muscle function, nerve transmission, and energy production. It is the eighth most abundant element in the Earth's crust and is commonly found in minerals like dolomite and magnesite. Magnesium alloys are used in the aerospace and automotive industries due to their lightweight properties. Magnesium is also used in the production of fireworks and flares, as it burns with a bright white light. Magnesium compounds, such as Epsom salt (magnesium sulfate), are commonly used in medicine for their laxative and muscle-relaxing properties. It is also used in fertilizers to improve soil quality."
13,Aluminum,Al,26.9815386,3,13,Solid,fcc,Post-transition metal,0.54,1.8,1.61,5.9858,3,2.698,933.4,2792,8,Hans Christian Ørsted,1827,0.897,[Ne]3s2 3p1,3,13,"Aluminum is a lightweight, silvery metal that is the most abundant metal in Earth's crust. It is highly versatile and is used in a wide variety of applications, including aerospace, transportation, construction, and packaging (especially in aluminum foil and cans). Aluminum is resistant to corrosion, which makes it ideal for outdoor and marine applications. It is a good conductor of heat and electricity and is also used in electrical transmission lines. Despite being a reactive metal, aluminum naturally forms a protective oxide layer that prevents further corrosion. Aluminum is also used in the production of lightweight alloys that are used in cars, airplanes, and other machinery to improve fuel efficiency. Recycling aluminum is highly efficient and saves energy, making it an environmentally-friendly material."
14,Silicon,Si,28.0855,3,14,Solid,fcc,Metalloid,0.4,1.5,1.9,8.1517,"+4, +2, -4",2.3296,1683.15,3538,8,Jöns Jacob Berzelius,1824,0.705,[Ne]3s2 3p2,3,14,"Silicon is a hard, brittle metal that is widely used in electronics and semiconductors due to its excellent ability to conduct electricity. It is the second most abundant element in the Earth's crust, and it forms the basis of most modern technology, from computers and smartphones to solar panels. Silicon is a key component in the production of integrated circuits (ICs), microchips, and transistors, which are the backbone of the electronics industry. It also plays a major role in the construction industry, where it is found in sand, clay, and stone, which are used to make concrete and glass. Silicon dioxide (SiO₂), or silica, is one of the most common compounds of silicon and is found in nature as quartz, used in everything from glass to gemstones. Silicon’s widespread use in high-tech applications has made it one of the most important elements in modern society."
15,Phosphorus,P,30.973762,3,15,Solid,cub,Nonmetal,0.38,1.2,2.19,10.4867,"+5, +3, -3",1.82,317.25,553,7,Hennig Brand,1669,0.769,[Ne]3s2 3p3,3,15,"Phosphorus is a non-metal element that is vital for life, as it is a key component of DNA, RNA, and ATP, all of which are essential for cellular function. It exists in several allotropes, with white phosphorus being the most reactive and red phosphorus being more stable. Phosphorus compounds, such as phosphates, are commonly found in fertilizers, as they are essential for plant growth. Phosphorus also plays a role in the formation of bones and teeth in animals. It is commonly used in the manufacture of safety matches, detergents, and flame retardants. In nature, phosphorus is found mainly in phosphate rock, which is mined for agricultural use. Its high reactivity makes white phosphorus dangerous to handle, as it can ignite spontaneously in air."
16,Sulfur,S,32.065,3,16,Solid,orth,Nonmetal,0.37,1.1,2.58,10.36,"+6, +4, -2",2.067,388.51,717.8,10,Prehistoric,,0.71,[Ne]3s2 3p4,3,16,"Sulfur is a yellow, non-metal element that has been known since ancient times for its use in medicine and as a component in gunpowder. It is essential for life, as sulfur-containing amino acids like cysteine and methionine are crucial for protein structure and function. Sulfur compounds, like sulfur dioxide, are used in the production of sulfuric acid, which is one of the most widely used industrial chemicals. Sulfur is also a key component of natural gas and petroleum and is involved in the formation of volcanic gases. In the environment, sulfur is part of the biogeochemical sulfur cycle, which includes processes like the formation of acid rain. Sulfur is commonly found in minerals such as pyrite (fool’s gold) and is also a major component of some natural ores."
17,Chlorine,Cl,35.453,3,17,Gas,,Halogen,1.8,0.97,3.16,12.9676,"+7, +5, +1, -1",0.003214,172.31,239.11,11,Carl Wilhelm Scheele,1774,0.479,[Ne]3s2 3p5,3,17,"Chlorine is a greenish-yellow gas with a strong odor that is highly reactive and toxic. It is commonly used as a disinfectant and in the production of a wide range of chemicals, including PVC (polyvinyl chloride), solvents, and pesticides. Chlorine is a halogen and is highly electronegative, readily forming salts with metals such as sodium chloride (table salt). It is used in water treatment to kill harmful bacteria and pathogens. Chlorine gas has been historically used as a chemical weapon, particularly during World War I, due to its toxic properties. In nature, chlorine is found in seawater, where it is present as chloride ions. Chlorine is an essential element for life in trace amounts but must be handled with care due to its toxicity and reactivity."
18,Argon,Ar,39.948,3,18,Gas,,Noble gas,,0.88,,15.7596,0,0.0017837,83.96,87.3,8,"John William Strutt, 3rd Baron Rayleigh, William Ramsay",1894,0.52,[Ne]3s2 3p6,3,18,"Argon is a colorless, odorless, inert gas that makes up about 1% of the Earth's atmosphere. It is one of the noble gases and is chemically inert, meaning it does not readily react with other elements. Argon is commonly used in welding and metal fabrication as an inert gas to shield the weld area from contamination by air. It is also used in the production of light bulbs, where it prevents the filament from burning up. Argon is used in laboratories as a non-reactive atmosphere for experiments involving highly reactive chemicals. Despite its low reactivity, argon is also a trace element in the atmosphere and is commonly found in volcanic gases and natural gas deposits. Argon’s lack of reactivity makes it ideal for applications where other gases might interfere with processes."
19,Potassium,K,39.0983,4,1,Solid,bcc,Alkali metal,1.4,2.8,0.82,4.3407,1,0.862,336.5,1032,10,Humphry Davy,1807,0.757,[Ar]4s1,4,1,"Potassium is a soft, silvery metal that is highly reactive, particularly with water. It is one of the alkali metals and is essential for life, as it plays a key role in maintaining the proper function of cells, nerves, and muscles. Potassium is involved in the regulation of blood pressure, heart function, and fluid balance. It is commonly found in salts such as potassium chloride, which is used in fertilizers, as well as in the production of soap and glass. Potassium compounds are also used in the manufacture of fireworks and as a source of nutrients in agriculture. In nature, potassium is primarily found in minerals like feldspar and in seawater. Its reactivity with water is so strong that it can cause fires or explosions when exposed to moisture."
20,Calcium,Ca,40.078,4,2,Solid,fcc,Alkaline earth metal,0.99,2.2,1,6.1132,2,1.54,1112.15,1757,14,Humphry Davy,1808,0.647,[Ar]4s2,4,2,"Calcium is a silvery-white alkaline earth metal that is vital for the health of bones and teeth, as it is a major component of their structure. It is also crucial for muscle function, nerve transmission, and blood clotting. Calcium is the fifth most abundant element in Earth’s crust and is commonly found in minerals like limestone, gypsum, and fluorite. Calcium compounds, such as calcium carbonate, are used in the construction industry in cement and lime, and as a dietary supplement to prevent bone diseases like osteoporosis. Calcium also plays a role in regulating cellular processes and is involved in signal transduction pathways. It is used in the production of metals and alloys, including steel, where it is added to remove impurities."
21,Scandium,Sc,44.955912,4,3,Solid,hex,Transition metal,0.75,2.1,1.36,6.5615,3,2.989,1812.15,3109,15,"Per Teodor Cleve, Lars Fredrik Nilson",1878,0.568,[Ar]4s2 3d1,4,3,"Scandium is a soft, silvery-white metal that is often classified as a transition metal. It is rare in the Earth's crust and is primarily found in ores such as thortveitite. Scandium is used in aerospace applications, as it improves the strength and lightness of aluminum alloys. Scandium alloys are particularly important in high-performance equipment, including aircraft and sports equipment like baseball bats. Although it is not abundant, scandium has promising potential for hydrogen storage applications, as its compounds can absorb large amounts of hydrogen. Scandium is also used in certain lighting applications, such as high-intensity discharge lamps, where it improves the quality of light. Due to its scarcity and limited applications, scandium remains one of the least economically significant transition metals."
22,Titanium,Ti,47.867,4,4,Solid,hex,Transition metal,0.61,2,1.54,6.8281,"+4, +3, +2",4.54,1933.15,3560,9,William Gregor,1791,0.523,[Ar]4s2 3d2,4,4,"Titanium is a strong, lightweight, and corrosion-resistant metal that is widely used in industries such as aerospace, medicine, and automotive. It is known for its high strength-to-weight ratio, which makes it ideal for use in aircraft, spacecraft, and military applications. Titanium alloys are used in implants, such as hip replacements and dental implants, due to their biocompatibility. The metal is resistant to corrosion, including from seawater and chlorine, which makes it useful in chemical processing and desalination plants. Titanium is also used in the production of high-performance sporting equipment, jewelry, and military armor. It is extracted from ores like rutile and ilmenite, and its extraction process is energy-intensive, which makes titanium products expensive."
23,Vanadium,V,50.9415,4,5,Solid,bcc,Transition metal,0.59,1.9,1.63,6.7462,"+5, +4, +3, +2",6.11,2175.15,3680,9,Andrés Manuel del Río,1801,0.489,[Ar]4s2 3d3,4,5,"Vanadium is a hard, silvery-gray metal that is used primarily in the production of high-strength steel alloys. Vanadium alloys are particularly valuable in the aerospace industry, where they are used to make lightweight, high-strength materials for aircraft and rockets. It is also used in the manufacture of batteries, such as vanadium redox flow batteries, which are a promising technology for energy storage. Vanadium is used in the production of tools, springs, and gears due to its hardness and resistance to wear. Despite its widespread industrial applications, vanadium is relatively rare in Earth's crust and must be extracted from minerals like vanadinite and magnetite. Vanadium compounds are also used as catalysts in chemical processes and to stabilize other metals."
24,Chromium,Cr,51.9961,4,6,Solid,bcc,Transition metal,0.52,1.9,1.66,6.7665,"+6, +3, +2",7.15,2130.15,2944,9,Louis Nicolas Vauquelin,1797,0.449,[Ar]3d5 4s1,4,6,"Chromium is a shiny, hard metal that is most commonly used in the production of stainless steel, where it imparts resistance to corrosion and enhances strength. It is also used to create alloys for various industrial purposes, such as in the production of tools and machinery. Chromium is a key component in chrome plating, which is used to give a shiny, corrosion-resistant finish to metal objects like car parts and faucets. It is an essential trace element for humans, involved in insulin regulation, but excessive exposure to chromium compounds can be toxic. Chromium also plays a role in the production of dyes and pigments, such as chromium oxide, which is used to make green and yellow colors in paints. The element is primarily obtained from ores like chromite, and its compounds are used as catalysts in industrial chemical processes."
25,Manganese,Mn,54.938045,4,7,Solid,bcc,Transition metal,0.46,1.8,1.55,7.434,"+7, +4, +3, +2",7.44,1519.15,2334,11,"Carl Wilhelm Scheele, Johan Gottlieb Gahn, Ignatius Gottfried Kaim",1774,0.479,[Ar]4s2 3d5,4,7,"Manganese is a grayish-white metal that is commonly used as an alloying element to strengthen steel and improve its hardness, toughness, and wear resistance. It is also used in the production of dry cell batteries, fertilizers, and in the chemical industry as a catalyst. Manganese is an essential trace element for human health, playing a role in the metabolism of amino acids, cholesterol, and glucose. The element is found in minerals like pyrolusite and is extracted through mining operations. Manganese is also used in the production of pigments and is an important component in the production of aluminum and brass alloys. While it is necessary for health in small amounts, excessive manganese exposure can lead to neurological damage, a condition known as manganism."
26,Iron,Fe,55.845,4,8,Solid,bcc,Transition metal,0.65,1.7,1.83,7.9024,"+3, +2",7.874,1808.15,3134,10,Prehistoric,,0.449,[Ar]4s2 3d6,4,8,"Iron is one of the most widely used metals in the world, known for its strength and versatility. It is a crucial component of steel, which is used in everything from construction to transportation. Iron is also important for biological systems, as it is a key component of hemoglobin, the molecule in red blood cells that carries oxygen throughout the body. Iron is extracted from ores like hematite and magnetite and is smelted in blast furnaces to produce pig iron, which is further refined to produce steel. Iron is highly reactive and forms compounds such as iron oxide (rust), which can corrode and weaken iron structures. Despite its susceptibility to corrosion, iron’s importance in the construction and manufacturing industries ensures that it remains one of the most economically significant elements."
27,Cobalt,Co,58.933195,4,9,Solid,hex,Transition metal,0.75,1.7,1.88,7.881,"+3, +2",8.86,1768.15,3200,14,Georg Brandt,1735,0.421,[Ar]4s2 3d7,4,9,"Cobalt is a hard, lustrous metal that is used primarily in the production of alloys, particularly those that are heat-resistant and durable. Cobalt-chromium alloys are used in the manufacture of medical implants, and cobalt is a key component in the production of superalloys used in jet engines and turbines. Cobalt is also a vital element in the manufacture of rechargeable batteries, such as those found in smartphones, laptops, and electric vehicles. Cobalt is an essential trace element in the human diet, as it is a component of vitamin B12, which is crucial for red blood cell production and neurological function. The element is primarily obtained as a by-product of nickel and copper mining. Cobalt’s use in batteries has led to concerns about the ethical sourcing of the metal, as much of it is mined in conflict zones, especially in the Democratic Republic of Congo."
28,Nickel,Ni,58.6934,4,10,Solid,fcc,Transition metal,0.69,1.6,1.91,7.6398,"+3, +2",8.912,1726.15,3186,11,Axel Fredrik Cronstedt,1751,0.444,[Ar]4s2 3d8,4,10,"Nickel is a silvery-white metal that is highly resistant to corrosion and oxidation, making it ideal for use in coins, batteries, and various industrial applications. It is a key component in the production of stainless steel, where it enhances the metal's strength and resistance to corrosion. Nickel is also used in the manufacture of rechargeable batteries, particularly nickel-cadmium (NiCd) and nickel-metal hydride (NiMH) batteries. It is an essential trace element for humans, playing a role in enzyme activity and the regulation of metabolic processes. Nickel is obtained from ores like laterite and pentlandite and is also found in meteorites. Due to its resistance to corrosion, nickel is used in marine environments, such as in the production of ship parts, and in chemical industries where it is used as a catalyst."
29,Copper,Cu,63.546,4,11,Solid,fcc,Transition metal,0.73,1.6,1.9,7.7264,"+2, +1",8.96,1357.75,2835,11,Prehistoric,,0.385,[Ar]4s1 3d10,4,11,"Copper is a reddish-brown metal that is an excellent conductor of electricity and heat, making it a vital component in electrical wiring, electronics, and plumbing. It is also used in the production of alloys like bronze (copper and tin) and brass (copper and zinc), which have various applications in machinery, architecture, and coinage. Copper has been used by humans for thousands of years, and ancient civilizations used it to create tools, weapons, and art. Copper is an essential trace element in the human diet, as it plays a role in iron metabolism, immune function, and the formation of red blood cells. The element is found in ores such as chalcopyrite and malachite and is primarily extracted through smelting. Copper's antimicrobial properties make it useful in medical and sanitation applications, such as door handles and surgical instruments."
30,Zinc,Zn,65.38,4,12,Solid,hex,Transition metal,0.74,1.5,1.65,9.3942,2,7.134,692.88,1180,15,Andreas Sigismund Marggraf,,0.388,[Ar]4s2 3d10,4,12,"Zinc is a bluish-white metal that is primarily used in galvanization, the process of coating iron or steel with zinc to prevent rusting. Zinc is also an important element in batteries, including zinc-carbon and alkaline batteries, and plays a key role in the production of alloys such as brass. Zinc is essential for human health, as it supports immune function, wound healing, and DNA synthesis. It is commonly found in foods such as meat, shellfish, legumes, and seeds. Zinc is also used in the production of rubber, chemicals, and fertilizers. The element is primarily extracted from ores like sphalerite and is commonly used in die-casting and in the manufacture of sunscreen. Zinc's role in galvanization and corrosion prevention makes it one of the most important metals in industrial applications."
31,Gallium,Ga,69.723,4,13,Solid,orth,Post-transition metal,0.62,1.8,1.81,5.9993,3,5.907,302.91,2477,14,Paul-Émile Lecoq de Boisbaudran,1875,0.371,[Ar]4s2 3d10 4p1,4,13,"Gallium is a soft, silvery metal that is known for its ability to remain in a liquid state just above room temperature, which makes it valuable for specific applications in electronics and semiconductors. It is primarily used in the production of light-emitting diodes (LEDs) and in solar panels, where it is part of gallium arsenide (GaAs) compounds that have excellent efficiency in converting solar energy. Gallium is also used in the creation of high-speed electronics and optical devices, such as laser diodes. Gallium is non-toxic and does not occur naturally in its pure form, but it is extracted as a byproduct of mining aluminum and zinc ores. In addition to its use in electronics, gallium is being explored for use in quantum computing and thermoelectrics. It is also used in medical imaging and as a component in certain types of radiation therapy."
32,Germanium,Ge,72.64,4,14,Solid,fcc,Metalloid,0.53,1.5,2.01,7.8994,"+4, +2",5.323,1211.45,3106,17,Clemens Winkler,1886,0.32,[Ar]4s2 3d10 4p2,4,14,"Germanium is a brittle, grayish-white metalloid with semiconductor properties, making it an important material in the electronics and telecommunications industries. It is used to make transistors and diodes, and it has applications in fiber-optic communications, infrared optics, and solar cells. Germanium is often alloyed with silicon to improve the performance of integrated circuits, especially in high-frequency electronics. The element was crucial in the development of early transistor technology, earning it the nickname ""the silicon of the 1940s."" While it is less abundant than silicon, germanium is still used in optoelectronics, including in infrared cameras and night-vision devices. Germanium is primarily obtained as a byproduct of zinc and copper mining. It is also used in the production of polymerization catalysts and in some types of glass."
33,Arsenic,As,74.9216,4,15,Solid,rho,Metalloid,0.58,1.3,2.18,9.7886,"+5, +3, -3",5.776,1090.15,887,14,Albertus Magnus,1250,0.329,[Ar]4s2 3d10 4p3,4,15,"Arsenic is a highly toxic metalloid that is known for its use in pesticides, herbicides, and in the preservation of wood, though its use has been limited due to its toxicity. It can exist in several allotropes, with gray arsenic being the most stable form. Arsenic is found in trace amounts in the Earth's crust and is typically obtained from minerals such as arsenopyrite. Inorganic arsenic compounds, like arsenic trioxide, have been historically used in medicine, but they are highly poisonous. Despite its toxicity, arsenic is used in the production of semiconductors, particularly in gallium arsenide (GaAs), for high-performance devices like solar cells, light-emitting diodes (LEDs), and lasers. Chronic exposure to arsenic can lead to serious health issues, including skin lesions, cancer, and cardiovascular disease. As a result, strict regulations govern its use in many countries."
34,Selenium,Se,78.96,4,16,Solid,hex,Nonmetal,0.5,1.2,2.55,9.7524,"+6, +4, -2",4.809,494.15,958,20,"Jöns Jacob Berzelius, Johan Gottlieb Gahn",1817,0.321,[Ar]4s2 3d10 4p4,4,16,"Selenium is a non-metal that plays an essential role in human health, particularly in antioxidant enzymes that protect cells from oxidative stress. It is found in trace amounts in soil and is commonly present in foods like Brazil nuts, seafood, and grains. Selenium is crucial for the functioning of the thyroid and immune system, and it helps prevent damage to cells from free radicals. It is also used in the electronics industry to make rectifiers and photocells, as it is a semiconductor material. Selenium compounds are used in glass production to decolorize glass and in the manufacture of pigments. While selenium is necessary for health in small quantities, excessive exposure can be toxic, leading to conditions like selenosis, which causes symptoms such as hair loss and gastrointestinal issues. Selenium is often found in combination with metals like mercury and arsenic in natural deposits."
35,Bromine,Br,79.904,4,17,Liquid,,Halogen,2,1.1,2.96,11.8138,"+5, +1, -1",3.122,266.05,332,19,"Antoine Jérôme Balard, Carl Jacob Löwig",1826,0.474,[Ar]4s2 3d10 4p5,4,17,"Bromine is a reddish-brown liquid at room temperature and is the only nonmetallic element that is liquid at standard conditions. It is highly reactive and is used in various industrial applications, including the production of flame retardants, fumigants, and agricultural chemicals. Bromine is used in the manufacture of certain dyes and is also a component in disinfectants for swimming pools and water treatment. In organic chemistry, bromine is used as a reagent for the synthesis of a wide range of compounds, including pharmaceuticals and plastics. Bromine compounds, such as methyl bromide, have been used as pesticides, although their use has been heavily restricted due to their harmful effects on the ozone layer. Bromine is primarily obtained from seawater and brine wells and is present in trace amounts in the Earth’s crust."
36,Krypton,Kr,83.798,4,18,Gas,,Noble gas,,1,,13.9996,0,0.003733,115.93,119.93,23,"William Ramsay, Morris Travers",1898,0.248,[Ar]4s2 3d10 4p6,4,18,"Krypton is a colorless, odorless, inert gas that belongs to the noble gases group in the periodic table. It is rare in Earth's atmosphere, comprising only about 0.0001% of it. Krypton is used in some types of high-performance light bulbs, including certain types of photographic flashes and in the production of energy-efficient lighting, where it helps improve the efficiency and brightness of the bulbs. It is also used in the field of spectroscopy to measure the concentration of certain substances. Krypton is not reactive under most conditions, but it can form compounds with highly electronegative elements like fluorine. Due to its scarcity and limited industrial uses, krypton is not widely known but is still important in scientific research and specialized lighting applications. Krypton was discovered in 1898, and its name is derived from the Greek word kryptos, meaning ""hidden."""
37,Rubidium,Rb,85.4678,5,1,Solid,bcc,Alkali metal,1.5,3,0.82,4.1771,1,1.532,312.79,961,20,"Gustav Kirchhoff, Robert Bunsen",1861,0.363,[Kr]5s1,5,1,"Rubidium is a soft, silvery-white alkali metal that is highly reactive, particularly with water. It is one of the least abundant alkali metals and is found in trace amounts in the Earth's crust. Rubidium is used in research and development, particularly in atomic clocks and in the study of quantum mechanics. Its compounds, such as rubidium chloride, are used in specialty glasses and in the production of certain catalysts. Rubidium vapor is used in some types of ion engines for spacecraft propulsion. Due to its high reactivity, rubidium must be stored in inert gases like argon or under oil to prevent it from reacting with moisture in the air. While rubidium has few practical applications, its unique properties make it useful in scientific experiments, particularly in atomic and molecular research."
